
Host: cmpsrv001.ph.qmul.ac.uk

Timers On : Sun Feb 25 19:01:20 2024
Timers Off: Thu Mar  7 18:20:00 2024

Wall Time:   947919.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| HF: Guess                         :    685.450u     47.733s     15.742w     64 calls
| | SAD Guess                       :    653.167u     45.850s     14.994w     64 calls
| HF: Form G                        : 621077.900u  31467.450s  17259.548w    896 calls
| | JK: D                           :    172.483u      7.833s      3.866w    896 calls
| | JK: USO2AO                      :     11.767u      0.533s      0.270w    896 calls
| | JK: JK                          : 620640.100u  31415.283s  17248.203w    896 calls
| | | JK: J                         :   7482.767u   1902.683s   3287.919w    896 calls
| | | | JK: J1                      :   5751.867u   1625.883s   2145.364w    896 calls
| | | | JK: J2                      :   1622.917u    270.683s   1136.463w    896 calls
| | | JK: K                         : 607410.750u  28989.383s  13805.371w    896 calls
| | | | JK: K1                      : 569342.083u  28252.650s  12831.466w    896 calls
| | | | JK: K2                      :  38065.333u    735.533s    972.553w    896 calls
| | JK: AO2USO                      :      0.117u      0.017s      0.008w    896 calls
| HF: Form F                        :    194.383u     11.767s      4.461w    896 calls
| HF: Form D                        :    156.133u      7.583s      4.099w    896 calls
| HF: DIIS                          :  12069.217u    744.317s    277.709w    832 calls
| HF: Form C                        :  17780.967u    637.467s    454.862w    832 calls
DF Integrals                        : 2139639.317u  99977.233s 118194.008w     64 calls
| Libint2ERI::Libint2ERI            :   3646.183u     64.517s   1978.152w   3712 calls
Omega Integrals                     :   1229.800u   7407.367s  13162.398w     64 calls
Amplitudes                          : 11157052.333u 374724.117s 362147.720w     64 calls
Elst10                              :      0.017u      0.017s      0.518w     64 calls
Exch10 S^2                          :    100.683u      7.383s     11.207w     64 calls
Exch10                              :    421.767u     18.367s     11.067w     64 calls
Ind20,r                             : 1602339.967u 169327.783s  45579.704w     64 calls
Exch-Ind20,r                        :   9780.167u   1001.583s    597.239w     64 calls
Disp20                              :  40332.200u   2624.967s   2560.026w     64 calls
Exch-Disp20                         : 737742.183u  26729.517s  22737.513w     64 calls
Elst12                              :     93.533u      7.400s     80.760w     64 calls
Exch11                              :   5075.800u    544.517s    402.993w     64 calls
Exch12                              : 8690680.267u 689526.483s 276146.233w     64 calls
Ind22                               : 523867.100u  65340.850s  45184.463w     64 calls

**************************************************************************************
